ID,Locaion,Temperator,Humidity,Lux,Weather Status,time
1,BTL1,20.2,70.0,424.0,clouds,2023-12-29 06:23:02
1,BTL1,22.5,74.0,485.0,clouds,2023-12-29 07:23:04
1,BTL1,25.1,73.0,575.0,clouds,2023-12-29 08:23:06
1,BTL1,26.2,75.0,612.0,clouds,2023-12-29 09:23:08
1,BTL1,26.6,66.0,673.0,clouds,2023-12-29 10:23:10
1,BTL1,27.2,65.0,645.0,clear,2023-12-29 11:23:12
1,BTL1,27.8,62.0,684.0,clear,2023-12-29 12:23:14
1,BTL1,28.6,50.0,645.0,clear,2023-12-29 13:23:16
1,BTL1,28.4,53.0,623.0,clear,2023-12-29 14:23:18
1,BTL1,25.5,62.0,752.0,clouds,2023-12-29 15:23:20
1,BTL1,24.2,65.0,667.0,clouds,2023-12-29 16:23:22
1,BTL1,18.7,75.0,345.0,clouds,2023-12-30 06:42:24
1,BTL1,19.1,72.0,352.0,clouds,2023-12-30 07:42:26
1,BTL1,19.2,68.0,612.0,clouds,2023-12-30 08:42:28
1,BTL1,22.2,65.0,1002.0,clouds,2023-12-30 09:42:30
1,BTL1,22.2,68.0,987.0,clouds,2023-12-30 10:42:32
1,BTL1,24.4,60.0,654.0,clouds,2023-12-30 11:42:34
1,BTL1,24.6,58.0,785.0,clouds,2023-12-30 12:42:36
1,BTL1,24.9,63.0,778.0,clouds,2023-12-30 13:42:38
1,BTL1,23.1,66.0,652.0,clouds,2023-12-30 14:42:40
1,BTL1,22.7,72.0,1025.0,clouds,2023-12-30 15:42:42
1,BTL1,22.2,77.0,645.0,clouds,2023-12-30 16:42:44
1,BTL1,19.4,77.0,520.0,clouds,2023-12-31 06:32:01
1,BTL1,20.2,75.0,605.0,clouds,2023-12-31 07:32:03
1,BTL1,20.6,78.0,604.0,clouds,2023-12-31 08:32:05
1,BTL1,21.4,68.0,675.0,clouds,2023-12-31 09:32:07
1,BTL1,22.2,62.0,624.0,clouds,2023-12-31 10:32:09
1,BTL1,22.6,51.0,674.0,clouds,2023-12-31 11:32:11
1,BTL1,23.2,52.0,712.0,clouds,2023-12-31 12:32:13
1,BTL1,23.4,48.0,705.0,clouds,2023-12-31 13:32:15
1,BTL1,24.3,59.0,688.0,clouds,2023-12-31 14:32:17
1,BTL1,22.1,57.0,621.0,rain,2023-12-31 15:32:19
1,BTL1,21.5,63.0,657.0,rain,2023-12-31 16:32:21
